text,where,bg,cs,da,de,el,es,fi,fr,hi,hr,hu,id,it,ja,ko,ms,nb,nl,pl,pt,pt-BR,ro,ru,sk,sr,sv,th,tr,uk,vi,zh
That page isn’t here,docs/404.html,Тази страница я няма,Tahle stránka tu není,Den side er her ikke,Diese Seite ist nicht hier,Aυτή η σελίδα δεν υπάρχει,Esa página no está aquí,Tätä sivua ei ole,Cette page n'existe pas,यह पृष्ठ यहाँ नहीं है,Ove stranice nema,Ez az oldal nincs itt,Halaman ini tidak ada,Questa pagina non esiste,ページが見つかりません,페이지를 찾을 수 없습니다,Halaman ini tiada di sini,Denne siden finnes ikke,Deze pagina bestaat niet,Ta strona nie istnieje,Esta página não está aqui,Esta página não está aqui,Pagina asta nu e aici,Эта страница не найдена,Táto stránka tu nie je,Ове странице нема,Sidan finns inte här,ไม่พบหน้านี้,Bu sayfa bulunamadı,Такої сторінки немає,Trang không tồn tại,页面不存在
"The link may be out of date, or the page may have moved. Everything below still works.",docs/404.html,Връзката може да е остаряла или страницата да е преместена. Всичко по-долу продължава да работи.,Odkaz může být zastaralý nebo se stránka přesunula. Všechno níže funguje dál.,"Linket kan være forældet, eller siden kan være flyttet. Alt herunder virker stadig.",Der Link ist möglicherweise veraltet oder die Seite wurde verschoben. Alles darunter funktioniert weiterhin.,Ο σύνδεσμος ενδέχεται να έχει λήξει ή η σελίδα μετακινήθηκε. Όλα τα παρακάτω εξακολουθούν να λειτουργούν.,Es posible que el enlace esté desactualizado o que la página se haya movido. Todo lo de abajo sigue funcionando.,Linkki voi olla vanhentunut tai sivu on siirretty. Kaikki alla oleva toimii edelleen.,Le lien est peut-être périmé ou la page a été déplacée. Tout ce qui suit fonctionne toujours.,"लिंक पुराना हो सकता है, या पृष्ठ स्थानांतरित हो गया होगा। नीचे दी गई सभी चीज़ें अभी भी काम कर रही हैं।",Poveznica je možda zastarjela ili je stranica premještena. Sve niže i dalje radi.,"Lehet, hogy a hivatkozás elavult, vagy az oldal átkerült máshová. Lentebb minden működik.","Tautan mungkin sudah kedaluwarsa, atau halaman mungkin telah dipindahkan. Semua di bawah ini tetap berfungsi.",Il link potrebbe essere obsoleto o la pagina potrebbe essere stata spostata. Tutto quello che trovi sotto funziona ancora.,リンクが古いか、ページが移動した可能性があります。以下の機能は引き続きご利用いただけます。,링크가 만료되었거나 페이지가 이동되었을 수 있습니다. 아래 navigation/기능은 정상 작동합니다.,"Pautan mungkin sudah lapuk, atau halaman itu telah dipindahkan. Semua yang di bawah masih berfungsi.","Lenken kan være utdatert, eller siden kan ha flyttet på seg. Alt nedenfor virker fortsatt.",De link is mogelijk verouderd of de pagina is verplaatst. Alles hieronder werkt nog steeds.,Link może essere nieaktualny lub strona została przeniesiona. Wszystko poniżej nadal działa.,A ligação pode estar desatualizada ou a página pode ter mudado de sítio. Tudo o que se segue continua a funcionar.,"O link pode estar desatualizado, ou a página pode ter mudado de lugar. Tudo o que vem abaixo continua funcionando.",Poate că linkul e învechit sau pagina s-a mutat. Tot ce e mai jos funcționează în continuare.,"Ссылка могла устареть, или страница была перемещена. Всё, что находится ниже, по-прежнему работает.",Odkaz môže byť zastaraný alebo sa stránka presunula. Všetko nižšie funguje ďalej.,Веза је можда застарела или је страница премештена. Све испод и даље ради.,Länken kan vara föråldrad eller så har sidan flyttats. Allt nedan fungerar fortfarande.,ลิงก์อาจเก่าเกินไป หรือหน้านี้อาจถูกย้ายไปแล้ว ทุกอย่างด้านล่างยังใช้งานได้ตามปกติ,Bağlantı güncel olmayabilir veya sayfa taşınmış olabilir. Aşağıdaki her şey çalışmaya devam etmektedir.,"Можливо, посилання застаріло або сторінку перенесено. Усе, що нижче, працює.",Liên kết có thể đã cũ hoặc trang đã được di chuyển. Mọi thứ bên dưới vẫn hoạt động bình thường.,链接可能已过期或页面已被移动。下面的内容仍可正常使用。
Go to the home page,docs/404.html,Към началната страница,Přejít na úvodní stránku,Gå til forsiden,Zur Startseite,Μετάβαση στην αρχική σελίδα,Ir a la página de inicio,Siirry etusivulle,Aller à la page d'accueil,होम पेज पर जाएं,Idi na početnu stranicu,Vissza a főoldalra,Buka halaman utama,Vai alla pagina principale,ホームへ戻る,홈페이지로 이동,Ke halaman utama,Gå til forsiden,Ga naar de homepage,Przejdź do strony głównej,Ir para a página inicial,Ir para a página inicial,Mergi la pagina principală,Перейти на главную,Prejsť na úvodnú stránku,Иди на почетну страницу,Gå till startsidan,ไปที่หน้าแรก,Ana sayfaya git,На головну,Đi đến trang chủ,返回首页
Download Lingueez,docs/404.html docs/_includes/pages/download.html,Изтеглете Lingueez,Stáhnout Lingueez,Hent Lingueez,Lingueez herunterladen,Λήψη του Lingueez,Descargar Lingueez,Lataa Lingueez,Télécharger Lingueez,Lingueez डाउनलोड करें,Preuzmi Lingueez,A Lingueez letöltése,Unduh Lingueez,Scarica Lingueez,Lingueez をダウンロード,Lingueez 다운로드,Muat turun Lingueez,Last ned Lingueez,Download Lingueez,Pobierz Lingueez,Transferir o Lingueez,Baixar o Lingueez,Descarcă Lingueez,Скачать Lingueez,Stiahnuť Lingueez,Преузми Lingueez,Ladda ner Lingueez,ดาวน์โหลด Lingueez,Lingueez'i İndir,Завантажити Lingueez,Tải xuống Lingueez,下载 Lingueez
Features,docs/404.html docs/_includes/nav.html,Възможности,Funkce,Funktioner,Funktionen,Χαρακτηριστικά,Características,Ominaisuudet,Fonctionnalités,विशेषताएं,Značajke,Funkciók,Fitur,Funzionalità,機能,주요 기능,Ciri-ciri,Funksjoner,Functies,Funkcje,Funcionalidades,Recursos,Funcții,Возможности,Funkcie,Могућности,Funktioner,ฟีเจอร์,Özellikler,Можливості,Tính năng,功能特性
E-reader plugin,docs/404.html,Приставка за електронен четец,Zásuvný modul pro čtečku,Udvidelse til e-bogslæser,E-Reader-Plugin,Πρόσθετο για e-reader,Plugin para e-reader,Lukulaitteen lisäosa,Plugin pour liseuse,ई-रीडर प्लگइन,Dodatak za e-čitač,E-könyv-olvasó bővítmény,Plugin e-reader,Plugin per e-reader,電子書籍リーダープラグイン,전자책 리더 플러그인,Pemalam pembaca e-buku,Tillegg for e-bokleser,E-reader plugin,Wtyczka do e-czytnika,Extensão para leitor de livros digitais,Extensão para leitor de e-books,Extensie pentru e-reader,Плагин для электронной книги,Doplnok pre čítačku,Додатак за е-читач,E-läsartillägg,ปลั๊กอินสำหรับเครื่องอ่านอีบุ๊ก,E-okuyucu eklentisi,Плагін для е-читача,Plugin cho máy đọc sách,电子书阅读器插件
Web app,docs/404.html docs/_includes/footer.html,Уеб приложение,Webová aplikace,Webapp,Web-App,Εφαρμογή Web,Aplicación web,Verkkosovellus,Application web,वेब ऐप,Web aplikacija,Webalkalmazás,Aplikasi web,App web,Web アプリ,웹 앱,Aplikasi web,Nettapp,Webapp,Aplikacja internetowa,Aplicação web,Aplicativo web,Aplicație web,Веб-приложение,Webová aplikácia,Веб апликација,Webbapp,เว็บแอป,Web uygulaması,Вебзастосунок,Ứng dụng Web,网页版应用
Privacy Policy,docs/404.html docs/_includes/footer.html,Политика за поверителност,Zásady ochrany osobních údajů,Privatlivspolitik,Datenschutzerklärung,Πολιτική Απορρήτου,Política de privacidad,Tietosuojaseloste,Politique de confidentialité,गोपनीयता नीति,Pravila privatnosti,Adatvédelmi tájékoztató,Kebijakan Privasi,Informativa sulla privacy,プライバシーポリシー,개인정보 처리방침,Dasar Privasi,Personvernerklæring,Privacybeleid,Polityka prywatności,Política de Privacidade,Política de Privacidade,Politica de confidențialitate,Политика конфиденциальности,Zásady ochrany osobných údajov,Политика приватности,Integritetspolicy,นโยบายความเป็นส่วนตัว,Gizlilik Politikası,Політика конфіденційності,Chính sách bảo mật,隐私政策
Email support,docs/404.html,Поддръжка по имейл,Podpora e-mailem,Support på e-mail,E-Mail-Support,Υποστήριξη μέσω email,Soporte por correo electrónico,Sähköpostituki,Support par e-mail,ईमेल सहायता,Podrška e-poštom,E-mailes támogatás,Dukungan email,Supporto via e-mail,メールサポート,이메일 지원,Sokongan e-mel,Støtte på e-post,E-mailondersteuning,Wsparcie e-mail,Apoio por e-mail,Suporte por e-mail,Asistență prin e-mail,Поддержка по эл. почте,Podpora e-mailom,Подршка путем е-поште,E-postsupport,ติดต่อฝ่ายสนับสนุนทางอีเมล,E-posta desteği,Написати в підтримку,Hỗ trợ qua email,电子邮件支持
Build vocabulary with confidence—across every language you learn.,docs/_includes/footer.html,"Трупайте речников запас уверено — на всеки език, който учите.","Budujte slovní zásobu s jistotou — v každém jazyce, který se učíte.","Byg ordforråd med selvtillid — på hvert eneste sprog, du lærer.","Bauen Sie Ihr Vokabular mit Selbstvertrauen auf – in jeder Sprache, die Sie lernen.",Χτίστε το λεξιλόγιό σας με αυτοπεποίθηση — σε κάθε γλώσσα που μαθαίνετε.,Construye tu vocabulario con confianza en cada idioma que aprendas.,"Kartuta sanastoasi varmoin mielin — jokaisella kielellä, jota opiskelet.","Enrichissez votre vocabulaire en toute confiance, dans chaque langue que vous apprenez.",विश्वास के साथ शब्दावली बनाएं—हर उस भाषा में जिसे आप सीखते हैं।,Gradite vokabular sigurno — na svakom jeziku koji učite.,"Építsd a szókincsed magabiztosan — minden nyelven, amit tanulsz.",Bangun kosakata dengan percaya diri—di setiap bahasa yang Anda pelajari.,"Costruisci il tuo vocabolario in sicurezza, in ogni lingua che impari.",学習中のあらゆる言語で、着実に語彙力を身につけましょう。,자신 있게 어휘를 늘려보세요 — 배우는 모든 언어에서.,Bina kosa kata dengan yakin — dalam setiap bahasa yang anda pelajari.,Bygg ordforråd med selvtillit — på hvert eneste språk du lærer.,Bouw met vertrouwen aan je woordenschat — in elke taal die je leert.,"Buduj słownictwo z pewnością siebie — w każdym języku, którego się uczysz.",Construa vocabulário com confiança — em cada língua que estuda.,Construa vocabulário com confiança — em cada idioma que você estuda.,Construiește-ți vocabularul cu încredere — în fiecare limbă pe care o înveți.,"Уверенно расширяйте словарный запас — для каждого языка, который вы изучаете.","Budujte slovnú zásobu s istotou — v každom jazyku, ktorý sa učíte.",Градите речник са сигурношћу — на сваком језику који учите.,Bygg upp ditt ordförråd med självförtroende – i alla språk du lär dig.,สร้างคลังคำศัพท์อย่างมั่นใจ — ในทุกภาษาที่คุณกำลังเรียน,Öğrendiğiniz her dilde kelime bilginizi güvenle geliştirin.,"Вивчайте лексику впевнено — незалежно від того, яку мову ви опановуєте.",Xây dựng vốn từ vựng tự tin — trên mọi ngôn ngữ bạn học.,自信积累词汇——轻松掌握您学习的每门语言。
Product,docs/_includes/footer.html,Продукт,Produkt,Produkt,Produkt,Προϊόν,Producto,Tuote,Produit,उत्पाद,Proizvod,Termék,Produk,Prodotto,製品,제품,Produk,Produkt,Product,Produkt,Produto,Produto,Produs,Продукт,Produkt,Производ,Produkt,ผลิตภัณฑ์,Ürün,Продукт,Sản phẩm,产品
